name,seed,weights,preprocessor,num_classes,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1,pca_components,neighbors
exp_84,21,True,vggish,2,0.8723404255319149,0.918032786885246,0.8115942028985508,0.8615384615384616,2,3
exp_85,21,False,vggish,2,0.8368794326241135,0.8709677419354839,0.7826086956521741,0.8244274809160306,2,3
exp_79,19,False,ised_features,2,0.6382978723404256,0.7543859649122807,0.5375,0.6277372262773723,2,3
exp_77,19,False,vggish,2,0.7801418439716312,0.8024691358024691,0.8125,0.8074534161490683,2,3
exp_76,19,True,vggish,2,0.8439716312056738,0.8625,0.8625,0.8625,2,3
exp_78,19,True,ised_features,2,0.7092198581560284,0.819672131147541,0.625,0.7092198581560285,2,3
exp_105,26,False,vggish,2,0.8226950354609929,0.875,0.7671232876712328,0.8175182481751825,2,3
exp_104,26,True,vggish,2,0.8794326241134752,0.9117647058823528,0.8493150684931506,0.8794326241134752,2,3
exp_106,26,True,ised_features,2,0.6666666666666666,0.7096774193548387,0.6027397260273972,0.6518518518518519,2,3
exp_107,26,False,ised_features,2,0.6808510638297872,0.7258064516129032,0.6164383561643836,0.6666666666666667,2,3
exp_42,10,True,ised_features,2,0.8014184397163121,0.8055555555555556,0.8055555555555556,0.8055555555555556,2,3
exp_43,10,False,ised_features,2,0.6312056737588653,0.6190476190476191,0.7222222222222222,0.6666666666666666,2,3
exp_41,10,False,vggish,2,0.8794326241134752,0.8873239436619719,0.875,0.8811188811188809,2,3
exp_40,10,True,vggish,2,0.8581560283687943,0.8714285714285714,0.8472222222222222,0.8591549295774648,2,3
exp_113,28,False,vggish,2,0.8226950354609929,0.7719298245614035,0.7857142857142857,0.7787610619469025,2,3
exp_114,28,True,ised_features,2,0.6879432624113475,0.603448275862069,0.625,0.6140350877192983,2,3
exp_115,28,False,ised_features,2,0.7163120567375887,0.6333333333333333,0.6785714285714286,0.6551724137931035,2,3
exp_112,28,True,vggish,2,0.851063829787234,0.7966101694915254,0.8392857142857143,0.8173913043478261,2,3
exp_68,17,True,vggish,2,0.8794326241134752,0.8656716417910447,0.8787878787878788,0.8721804511278195,2,3
exp_69,17,False,vggish,2,0.8226950354609929,0.7887323943661971,0.8484848484848485,0.8175182481751825,2,3
exp_70,17,True,ised_features,2,0.8085106382978723,0.8095238095238095,0.7727272727272727,0.7906976744186046,2,3
exp_71,17,False,ised_features,2,0.7446808510638298,0.734375,0.7121212121212122,0.7230769230769231,2,3
exp_181,45,False,vggish,2,0.851063829787234,0.8311688311688312,0.8888888888888888,0.8590604026845637,2,3
exp_180,45,True,vggish,2,0.8652482269503546,0.8840579710144928,0.8472222222222222,0.8652482269503546,2,3
exp_182,45,True,ised_features,2,0.6950354609929078,0.7164179104477612,0.6666666666666666,0.6906474820143884,2,3
exp_183,45,False,ised_features,2,0.6879432624113475,0.7333333333333333,0.6111111111111112,0.6666666666666666,2,3
exp_169,42,False,vggish,2,0.8014184397163121,0.8771929824561403,0.7042253521126759,0.7812499999999999,2,3
exp_168,42,True,vggish,2,0.8581560283687943,0.8805970149253731,0.8309859154929577,0.8550724637681161,2,3
exp_171,42,False,ised_features,2,0.6737588652482269,0.7192982456140351,0.5774647887323944,0.6406249999999999,2,3
exp_170,42,True,ised_features,2,0.6808510638297872,0.703125,0.6338028169014085,0.6666666666666667,2,3
exp_119,29,False,ised_features,2,0.6879432624113475,0.6933333333333334,0.7123287671232876,0.7027027027027026,2,3
exp_117,29,False,vggish,2,0.851063829787234,0.90625,0.7945205479452054,0.8467153284671532,2,3
exp_116,29,True,vggish,2,0.8085106382978723,0.8026315789473685,0.8356164383561644,0.8187919463087249,2,3
exp_118,29,True,ised_features,2,0.7304964539007093,0.7397260273972602,0.7397260273972602,0.7397260273972603,2,3
exp_66,16,True,ised_features,2,0.7588652482269503,0.7741935483870968,0.7058823529411765,0.7384615384615385,2,3
exp_67,16,False,ised_features,2,0.6595744680851063,0.6282051282051282,0.7205882352941176,0.6712328767123287,2,3
exp_65,16,False,vggish,2,0.7872340425531915,0.7567567567567568,0.8235294117647058,0.7887323943661971,2,3
exp_64,16,True,vggish,2,0.8156028368794326,0.8,0.8235294117647058,0.8115942028985507,2,3
exp_45,11,False,vggish,2,0.8581560283687943,0.953125,0.7820512820512819,0.8591549295774649,2,3
exp_44,11,True,vggish,2,0.8581560283687943,0.9264705882352942,0.8076923076923077,0.8630136986301371,2,3
